anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Tingsted,Things to do,th,58,Historisk Tid,"{'Historisk Tid': 46, 'Nyere tid': 6, 'Middelalder': 5, 'Oldtid': 1}","Et tingsted er et sted, hvor der har været lovgivning og diplomatisk aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. en kirke eller et sted med forbindelser til lokale myndigheder.","['https://en.wikipedia.org/wiki/Tingsted', 'https://ordnet.dk/ddo/ordbog?query=tingsted', 'https://en.wikipedia.org/wiki/Arkils_tingstad']"
Skel (ejendom),Skel (property),opera,54,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 15, 'Nyere tid': 15, 'Middelalder': 14, 'Udateret': 7, 'Oldtid': 2, 'Vikingetid': 1}","Et skel er en juridisk gældende grænse, der adskiller to ejendomme, og som ofte er kendetegnet ved sine synlige position i landskabet.","['https://denstoredanske.lex.dk/skel_-_mellem_ejendomme', 'https://pkn.naevneneshus.dk/nyhed/be27d648-3099-43b4-8c10-f31d7a7c42dc?highlight=matrikelskel', 'https://tellusadvokater.dk/hvad-er-et-skel/', 'http://www.hegnsloven.dk/orienter.html']"
Kammergrav,Chamber tomb,om,53,Vikingetid,"{'Vikingetid': 26, 'Stenalder': 13, 'Jernalder': 11, 'Bronzealder': 3}","En kammergrav er en grav, hvor der er flere gravkamre i en større jordhøj, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://denstoredanske.lex.dk/skel_-_mellem_ejendomme', 'https://pkn.naevneneshus.dk/nyhed/be27d648-3099-43b4-8c10-f31d7a7c42dc?highlight=matrikelskel', 'https://tellusadvokater.dk/hvad-er-et-skel/', 'http://www.hegnsloven.dk/orienter.html']"
Trækul,Wood charcoal,chair,52,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 14, 'Udateret': 8, 'Jernalder': 7, 'Oldtid': 4, 'Middelalder': 2, 'Bronzealder': 1, 'Efterreformatorisk tid': 1}","Trækul er et materiale, der er lavet af brændte træstammer, og som ofte er brugt til at lave brænde, trækulgriller eller andre trækulprodukter.","['https://en.bab.la/dictionary/danish-english/traekul', 'https://en.langenscheidt.com/danish-german/tr%C3%A6kul', 'https://en.bab.la/dictionary/english-danish/charcoal', 'https://www.collinsdictionary.com/us/dictionary/english/charcoal']"
Fiskegård,Fish farm,fish,52,Stenalder,"{'Stenalder': 30, 'Historisk Tid': 7, 'Middelalder': 7, 'Oldtid': 4, 'Efterreformatorisk tid': 2, 'Udateret': 2}","Et fiskegård er et sted, hvor der har været produktion af fisk, f.eks. laks, torsk eller andre fisk, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://en.bab.la/dictionary/danish-english/traekul', 'https://en.langenscheidt.com/danish-german/tr%C3%A6kul', 'https://en.bab.la/dictionary/english-danish/charcoal', 'https://www.collinsdictionary.com/us/dictionary/english/charcoal']"
"Sekundær subsistens/produktion, uspec undergruppe","Secondary subsistence/production, unspecified subgroup",podcast,52,Oldtid,"{'Oldtid': 13, 'Nyere tid': 10, 'Middelalder': 8, 'Udateret': 6, 'Bronzealder': 4, 'Jernalder': 3, 'Stenalder': 3, 'Vikingetid': 3, 'Historisk Tid': 2}","Sekundær subsistens er et sted, hvor der har været produktion af varer, f.eks. mad, tøj eller andre varer, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://en.bab.la/dictionary/danish-english/traekul', 'https://en.langenscheidt.com/danish-german/tr%C3%A6kul', 'https://en.bab.la/dictionary/english-danish/charcoal', 'https://www.collinsdictionary.com/us/dictionary/english/charcoal']"
Vandfyldt grav,Watery Dig,at,52,Historisk Tid,"{'Historisk Tid': 47, 'Middelalder': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1}","En vandfyldt grav er en grav, hvor den døde er blevet begravet i en kiste, som er fyldt med vand, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://en.bab.la/dictionary/danish-english/traekul', 'https://en.langenscheidt.com/danish-german/tr%C3%A6kul', 'https://en.bab.la/dictionary/english-danish/charcoal', 'https://www.collinsdictionary.com/us/dictionary/english/charcoal']"
Skibsbro,Ship bridge,ship,51,Historisk Tid,"{'Historisk Tid': 40, 'Middelalder': 5, 'Nyere tid': 5, 'Udateret': 1}","Et skibsbro er et sted, hvor der er plads til at et skib kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Jættestue,Room of passage,om,50,Stenalder,"{'Stenalder': 47, 'Oldtid': 2, 'Vikingetid': 1}","En jættestue er en gravhøj, der er kendetegnet ved sine store størrelser og særlige konstruktioner, og som ofte indeholder flere gravkamre.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Handel,Trade,ad,46,Middelalder,"{'Middelalder': 17, 'Jernalder': 10, 'Historisk Tid': 8, 'Nyere tid': 4, 'Udateret': 4, 'Vikingetid': 3}","Handel er et sted, hvor der har været handel og udveksling af varer, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. en marked eller et sted med forbindelser til lokal handel.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Industrianlæg,Industrial installations,industry,46,Nyere tid,"{'Nyere tid': 42, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1}","Et industrianlæg er et sted, hvor der har været produktion af varer, f.eks. stål, cement eller andre industrielle produkter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Plankevej,Plank Road,ad,45,Middelalder,"{'Middelalder': 22, 'Udateret': 6, 'Historisk Tid': 5, 'Oldtid': 5, 'Vikingetid': 3, 'Bronzealder': 2, 'Jernalder': 1, 'Nyere tid': 1}","En plankevej er en vej, der er bygget af træplanker, og som ofte er kendetegnet ved sine lange, smalle konstruktioner, der ofte er placeret over vandløb.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kalk,Lime,line,44,Historisk Tid,"{'Historisk Tid': 23, 'Nyere tid': 11, 'Middelalder': 6, 'Efterreformatorisk tid': 3, 'Udateret': 1}","Kalk er et materiale, der er lavet af jord, f.eks. kalksten eller jord, og som ofte er brugt til at lave cement, kalkmaler eller andre kalkprodukter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Platform for hus eller gård,Platform for house or farm,house-damage,44,Historisk Tid,"{'Historisk Tid': 26, 'Middelalder': 7, 'Nyere tid': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Vikingetid': 2}","En platform er et sted, hvor der har været en bygning, f.eks. et hus eller et gård, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Lade,Load,ad,43,Jernalder,"{'Jernalder': 28, 'Nyere tid': 5, 'Bronzealder': 3, 'Oldtid': 3, 'Middelalder': 2, 'Udateret': 1, 'Vikingetid': 1}","En lade er et sted, hvor der er plads til at skibe kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Fiskeplads,Fishing grounds,fish,42,Stenalder,"{'Stenalder': 34, 'Oldtid': 5, 'Udateret': 2, 'Nyere tid': 1}","En fiskeplads er et sted, hvor der er plads til at fiskere, og som ofte er kendetegnet ved sine lange, smalle former, der forbinder steder i landskabet.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
"Transport, uspec undergruppe","Transport, unspecified subgroup",train,40,Nyere tid,"{'Nyere tid': 13, 'Historisk Tid': 12, 'Oldtid': 6, 'Udateret': 4, 'Stenalder': 3, 'Middelalder': 2}","Transport er et bredt begreb, der dækker transportmidler, f.eks. skibe, tog eller fly, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Anker,Anchor,anchor,40,Nyere tid,"{'Nyere tid': 30, 'Udateret': 5, 'Historisk Tid': 3, 'Middelalder': 1, 'Vikingetid': 1}","Et anker er et stykke jern, der er brugt til at fastholde et skib, og som ofte er fundet i vandet.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Ligbrændingsplads,Body burning site,burn,40,['Bronzealder' 'Jernalder'],"{'Bronzealder': 16, 'Jernalder': 16, 'Oldtid': 8}","En ligbrændingsplads er et sted, hvor der er plads til at et fartøj kan lande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Led,Led,apple,40,Nyere tid,"{'Nyere tid': 36, 'Historisk Tid': 3, 'Udateret': 1}","Et led er et stykke træ, der er brugt til at fastholde to ting sammen, f.eks. en kiste, og som ofte er kendetegnet ved sine lange, smalle former.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Møllekanal,Mill canal,oil-can,39,Nyere tid,"{'Nyere tid': 22, 'Historisk Tid': 11, 'Middelalder': 3, 'Efterreformatorisk tid': 2, 'Udateret': 1}","En møllekanal er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Hospital,Hospital,hospital,39,Historisk Tid,"{'Historisk Tid': 16, 'Middelalder': 15, 'Nyere tid': 7, 'Efterreformatorisk tid': 1}","Et hospital er et sted, hvor der har været behandling af syge, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Latrin og toilet,Latrine and toilet,toilet,37,Historisk Tid,"{'Historisk Tid': 13, 'Middelalder': 10, 'Nyere tid': 9, 'Efterreformatorisk tid': 3, 'Udateret': 1, 'Vikingetid': 1}","Et latrin og toilet er et sted, hvor der er plads til at gøre sine fysiske behov, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et hvidt hjemme.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
"Social og samfund, uspec undergruppe","Social and community, unspecified subgroup",d-and-d,36,Nyere tid,"{'Nyere tid': 25, 'Historisk Tid': 4, 'Bronzealder': 2, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Oldtid': 1, 'Stenalder': 1}","Social og samfund er et bredt begreb, der dækker sociale og kulturelle aktiviteter, f.eks. skoler, kirker eller andre samfundsbygninger, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Luftværnsanlæg,Air protection systems,air-freshener,36,Nyere tid,{'Nyere tid': 36},"Et luftværnsanlæg er et sted, hvor der er plads til at fly kan lande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Afløbsrende,Detachable,table,34,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 14, 'Middelalder': 5}","En afløbsrende er et sted, hvor der er plads til at skibe kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kogestensrøse,Cooking stone screeds,cookie,34,Oldtid,"{'Oldtid': 18, 'Jernalder': 10, 'Bronzealder': 2, 'Stenalder': 2, 'Udateret': 1, 'Vikingetid': 1}","En kogestensrøse er et sted, hvor der har været et kogekompleks, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Skovbrug,Forestry,fire,34,Nyere tid,"{'Nyere tid': 32, 'Historisk Tid': 2}","En skovbrug er et sted, hvor der har været produktion af træ, f.eks. skov eller andre træprodukter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Glas,Glass,glass-cheers,33,Historisk Tid,"{'Historisk Tid': 9, 'Efterreformatorisk tid': 8, 'Jernalder': 6, 'Middelalder': 4, 'Udateret': 2, 'Vikingetid': 2, 'Nyere tid': 1, 'Oldtid': 1}","Glas er et materiale, der er lavet af sand, f.eks. kvartsand eller andre mineraler, og som ofte er brugt til at lave vinduer, glasvaser eller andre glasprodukter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kildeanlæg,Source installations,icons,33,Historisk Tid,"{'Historisk Tid': 17, 'Nyere tid': 6, 'Jernalder': 2, 'Middelalder': 2, 'Stenalder': 2, 'Udateret': 2, 'Bronzealder': 1, 'Oldtid': 1}","Et kildeanlæg er et sted, hvor der er kilder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kirkeinventar,Kirkeinventare,indent,31,Middelalder,"{'Middelalder': 21, 'Historisk Tid': 8, 'Nyere tid': 1, 'Vikingetid': 1}","En kirkeinventar er et sted, hvor der er plads til at opbevare kirkeinventar, f.eks. alter, kerlys og andre religiøse genstande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Ben/Horn,Legs/Horn,less,30,Middelalder,"{'Middelalder': 15, 'Jernalder': 9, 'Vikingetid': 3, 'Udateret': 2, 'Stenalder': 1}","Et ben er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dræn,Drain,brain,29,Nyere tid,"{'Nyere tid': 26, 'Historisk Tid': 3}","En dræn er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kultanlæg med systemgrøfter,System Ditches Cults,chess,29,Stenalder,"{'Stenalder': 27, 'Jernalder': 1, 'Oldtid': 1}","Et kultanlæg med systemgrøfter er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et kapel eller et sted med forbindelser til lokale helgener.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Trædesten,Treestones,tree,28,['Jernalder' 'Oldtid'],"{'Jernalder': 7, 'Oldtid': 7, 'Udateret': 6, 'Historisk Tid': 4, 'Middelalder': 2, 'Nyere tid': 2}","En trædesten er en type sten, der ofte bruges til trædestole, og som er kendetegnet ved sine lange, smalle former.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Tørv,Peat,at,28,Jernalder,"{'Jernalder': 12, 'Udateret': 7, 'Nyere tid': 4, 'Oldtid': 4, 'Stenalder': 1}","Tørv er et materiale, der er lavet af fiber, f.eks. uld, bomuld eller andre naturlige fiber, og som ofte er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Indskrift,Inscription,prescription,28,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 6, 'Efterreformatorisk tid': 4, 'Middelalder': 1}","En indskrift er et brev eller en anden tekst, der er skrevet i sten, papir eller andet materiale, og som ofte er fundet i gravhøje eller andre stenalderkonstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Indsamling-/jagtplads,Collection/hunting space,spa,27,Stenalder,"{'Stenalder': 24, 'Historisk Tid': 2, 'Efterreformatorisk tid': 1}","En indsamling- eller jagtplads er et sted, hvor der har været jagt, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Levnedsmidler,Foodstuffs,poo,27,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 4, 'Middelalder': 4, 'Efterreformatorisk tid': 1, 'Jernalder': 1, 'Stenalder': 1, 'Udateret': 1}","Levnedsmidler er et bredt begreb, der dækker de daglige ting, som f.eks. madlavning, tøjvaske eller andre husholdningsrelaterede aktiviteter, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
"Primær fødeerhverv, uspec undergruppe","Primary food industry, unspecified subgroup",industry,26,Nyere tid,"{'Nyere tid': 9, 'Historisk Tid': 4, 'Udateret': 4, 'Oldtid': 3, 'Stenalder': 3, 'Bronzealder': 1, 'Jernalder': 1, 'Middelalder': 1}","Primære fødeerhverv er et sted, hvor der har været produktion af fødevarer, f.eks. korn, kartofler eller andre fødevarer, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Læder/skind,Leather/skin,at,25,Middelalder,"{'Middelalder': 10, 'Nyere tid': 5, 'Historisk Tid': 4, 'Jernalder': 3, 'Efterreformatorisk tid': 2, 'Stenalder': 1}","Et læder eller skind er et stykke af læder, der er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Klokkestabel/-tårn,Bell table/tower,bell,24,Middelalder,"{'Middelalder': 9, 'Historisk Tid': 8, 'Nyere tid': 6, 'Udateret': 1}","En klokkestabel eller en tårn er et stykke af træ, der er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Forsamlingsplads,Assembly seat,at,24,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 6, 'Bronzealder': 1, 'Efterreformatorisk tid': 1, 'Oldtid': 1}","En forsamlingsplads er et sted, hvor der har været et arrangement, f.eks. en koncert, en udstilling eller andre begivenheder, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Brændsel,Fuel,stroopwafel,23,Historisk Tid,"{'Historisk Tid': 9, 'Nyere tid': 8, 'Jernalder': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1, 'Middelalder': 1}","En brændsel er et sted, hvor der har været produktion af brænde, f.eks. i en brænderi, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kultanlæg med palisader,Cult system with palisades,steam,22,Stenalder,"{'Stenalder': 20, 'Bronzealder': 1, 'Oldtid': 1}","Et kultanlæg med palisader er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et kapel eller et sted med forbindelser til lokale helgener.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Have,Garden,adn,22,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 6, 'Middelalder': 1}","Et have er et sted, hvor der har været produktion af frugt, f.eks. æbler, pærer eller andre frugter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Færgested,Ferry site,sith,22,Historisk Tid,"{'Historisk Tid': 18, 'Nyere tid': 3, 'Middelalder': 1}","Et færgested er et sted, hvor der har været jagt, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Skel (offentlig administration),Skel (public administration),minus,21,Nyere tid,"{'Nyere tid': 10, 'Historisk Tid': 7, 'Middelalder': 2, 'Udateret': 2}","Et skel er en sten, der er gravet med en offentlig administration, f.eks. et våben eller et værktøj, og som ofte er brugt til at markere ejerskab eller ejendomsret over et område.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Flyvestation,Flight station,at,21,Nyere tid,{'Nyere tid': 21},"En flyvestation er et sted, hvor der er plads til at et fly kan lande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Fiskebod,Fishboat,at,21,Nyere tid,"{'Nyere tid': 13, 'Middelalder': 4, 'Historisk Tid': 3, 'Udateret': 1}","Et fiskebod er et sted, hvor der har været produktion af fisk, f.eks. laks, torsk eller andre fisk, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Overvågningsanlæg,Monitoring facilities,ring,21,Nyere tid,"{'Nyere tid': 20, 'Historisk Tid': 1}","Et overvågningsanlæg er et sted, hvor der har været overvågning af fanger, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Sømærke,Seamark,mars,21,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 2, 'Udateret': 2}","En sømærke er et sted, hvor der har været produktion af tøj, f.eks. uld, bomuld eller andre fiber, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
